Ticker,Country,
AAPL,USA,US0378331005
ACB,USA,CA05156X1087
ADSK,USA,US0527691069
ADYEN,USA,
AMZN,USA,US0231351067
ATHM,USA,US05278C1071
ATUS,USA,US02156K1034
AYR.A CN,USA,
BABA,USA,US01609W1027
BZUN,USA,US06684L1035
CBLK,USA,US14081R1032
CCI,USA,US1730341096
CCK,USA,US2283681060
CDNS,USA,US1273871087
CMCSA,USA,
CRM,USA,US79466L3024
CRWD,USA,US22788C1053
CSCO,USA,US17275R1023
DOCU,USA,US2561631068
EBAY,USA,US2786421030
EEM,USA,US4642872349
ESU9,USA,
FB,USA,US30241E3036
FDS,USA,US3030751057
FOXA,USA,US35137L1052
FRPT,USA,US3580391056
FWONK,USA,
GLIBA,USA,
GOOGL,USA,US38259P5089
GRNTECH,USA,
GTII CN,USA,
HAS,USA,US4180561072
HRL,USA,US4404521001
IBM,USA,US4592001014
INFY,USA,US4567881085
IQV,USA,US46266C1053
JD,USA,US47215P1066
ELIFE,USA,
ELIFEC,USA,
LYV,USA,US5380341090
MIRROR,USA,
MJ,USA,US26924G5080
MSG,USA,
NCMI,USA,US6353091076
NFLX,USA,US64110L1061
NOW,USA,US61747Y6005
OMC,USA,US6819191064
OOUT,USA,
OPENDOOR,USA,
ORCL,USA,US68389X1054
PDD,USA,US1730787264
PINS,USA,US72352L1061
PLAN,USA,US03272L1089
PLNT,USA,US72703H1014
PTC,USA,US69370C1009
PUB FP,USA,
QQQ,USA,US73935A1043
REAL,USA,US88339P1012
RLGY,USA,US75605Y1064
SAP,USA,US8030542042
SE,USA,US8475601097
SNAP,USA,US83304A1060
SNE,USA,US8356993076
SPOT,USA,LU1778762911
SPY,USA,US78462F1030
T,USA,US0019571092
TCEHY,USA,
TME,USA,US88034P1093
TRI CN,USA,
V,USA,US4637121090
VIAB,USA,US92553P2011
VZ,USA,US92343V1044
W,USA,US94419L1017
WDAY,USA,US98138H1014
WORK,USA,US98137N1090
WTRH,USA,US9307521008
Z,USA,US98954A1079
FB,USA,US30241E3036
AMZN,USA,US0231351067
VIAC,USA,US92554J1051
UBER,USA,US90353T1007
NFLX,USA,US64110L1061
CRM,USA,US79466L3024
GOOGL,USA,US38259P5089
PLAN,USA,US03272L1089
ATVI,USA,US00507V1098
CCO,USA,US18453H1068
FWONK,USA,
JD,USA,US47215P1066
ATUS,USA,US02156K1034
CRWD,USA,US22788C1053
DT,USA,US2681501092
PELOTON,USA,
HUBS,USA,US4435731009
RNG,USA,US76680R2067
IQV,USA,US46266C1053
FISV,USA,US3377381088
GLIBA,USA,
TWLO,USA,US90138F1021
CHTR,USA,US16119P1084
SNAP,USA,US83304A1060
BABA,USA,US01609W1027
QCOM,USA,US7475251036
CCC,USA,US1296031065
FIVN,USA,US3383071012
ADYEN NA,USA,
TME,USA,US88034P1093
NUAN,USA,US67020Y1001
SFIX,USA,US8608971078
NCMI,USA,US6353091076
AMC,USA,US00165C1045
DISCA,USA,
MSGN,USA,US5535731062
ITV LN,USA,
RLGY,USA,US75605Y1064
ROKU,USA,US77543R1023
HTZ,USA,US42806J1060
AMCX,USA,US00164V1035
NLSN,USA,NL0009538479
SYY,USA,US8718291078
MMM,USA,US88579Y1010
PDD,USA,US1730787264
LAMR,USA,US5128161099
ATD.B CN,USA,
SKT,USA,US8754651060
CSCO,USA,US17275R1023
RDFN,USA,US75737F1084
MAC,USA,US5543821012
IPG,USA,US4606901001
MUSA,USA,US6267551025
ORCL,USA,US68389X1054
OUT,USA,US69007J1060
BF.B,USA,US1156372096
ZM,USA,US98980L1017
ULTA,USA,US90384S3031
SMH,USA,US92189F6768
DOCU,USA,US2561631068
NTES,USA,US64110W1027
PYPL,USA,US7045081004
ADBE,USA,US00724F1012
ADP,USA,US0530151036
TEAM,USA,US8783111094
CHKP,USA,IL0010824113
ACN,USA,US0051131052
UPS,USA,US9113121068
IBM,USA,US4592001014
CMCSA,USA,
T,USA,US0019571092
ADSK,USA,US0527691069
WORK,USA,US98137N1090
SPY200117P00317000,USA,
OMC,USA,US6819191064
AAPL,USA,US0378331005
MSFT,USA,US5949181045
QQQ,USA,US73935A1043
ESH0,USA,
CHTR,USA,US16119P1084
ATUS,USA,US02156K1034
MSFT,USA,US5949181045
ATVI,USA,US00507V1098
PELOTON,USA,
NUAN,USA,US67020Y1001
BABA,USA,US01609W1027
PTON,USA,US70614W1009
GLIBA,USA,
MU,USA,US5951121038
FB,USA,US30241E3036
PLAN,USA,US03272L1089
GOOGL,USA,US38259P5089
CCC,USA,US1296031065
CRWD,USA,US22788C1053
EQIX,USA,US29444U7000
INTC,USA,US4581401001
ESTC,USA,NL0013056914
SPOT,USA,LU1778762911
JD,USA,US47215P1066
FIVN,USA,US3383071012
9988 KY,USA,
GPN,USA,US37940X1028
DT,USA,US2681501092
NYT,USA,US6501111073
TMV GY,USA,
EL,USA,US5184391044
TIF,USA,US8865471085
MIRROR,USA,
TCPSXII,USA,
TCPSXVI,USA,
PALAJUL17,USA,
CCO,USA,US18453H1068
SIRI,USA,US82967N1081
AMCX,USA,US00164V1035
PLT,USA,US7274931085
TTD,USA,US88339J1051
ARMK,USA,US03852U1060
DISH,USA,US25470M1099
AVYA,USA,US05351X1019
NLSN,USA,NL0009538479
WU,USA,US9598021098
OKTA,USA,US6792951054
CTL,USA,US1567001060
Z,USA,US98954A1079
CRM,USA,US79466L3024
MANH,USA,US5627501092
IPG,USA,US4606901001
TDOC,USA,US87918A1051
ACN,USA,US0051131052
TWLO,USA,US90138F1021
PAYX,USA,US7043261079
WDAY,USA,US98138H1014
VZ,USA,US92343V1044
LYFT,USA,US55087P1049
LYV,USA,US5380341090
GSCBSF8X,USA,
SMH,USA,US92189F6768
RNG,USA,US76680R2067
TEAM,USA,US8783111094
MSHOGRSW,USA,
PYPL,USA,US7045081004
UBER,USA,US90353T1007
CABO,USA,US12685J1051
AMZN,USA,US0231351067
GRUB,USA,US4001101025
HUBS,USA,US4435731009
OMC,USA,US6819191064
SHOP,USA,CA82509L1076
ORCL,USA,US68389X1054
T,USA,US0019571092
SAP,USA,US8030542042
NQM0,USA,
IGV,USA,US4642875151
QQQ,USA,US73935A1043
CHTR,USA,US16119P1084
ESM0,USA,
CHTR,USA,US16119P1084
AMZN,USA,US0231351067
BABA,USA,US01609W1027
EBAY,USA,US2786421030
NEXI IT,USA,
DT,USA,US2681501092
NXPI,USA,NL0009538784
NUAN,USA,US67020Y1001
MSFT,USA,US5949181045
PTON,USA,US70614W1009
GOOGL,USA,US38259P5089
WDAY,USA,US98138H1014
ATVI,USA,US00507V1098
ESTC,USA,NL0013056914
FISV,USA,US3377381088
GLIBA,USA,
FIS,USA,US31620M1062
EXPE,USA,US30212P3038
BKNG,USA,US06646L1008
CCC,USA,US1296031065
SSNC,USA,US85227Q1004
MRVL,USA,BMG5876H1051
DISH,USA,US25470M1099
ATUS,USA,US02156K1034
FB,USA,US30241E3036
MTCH,USA,US57667L1070
PLAN,USA,US03272L1089
FTCH,USA,US30744W1071
DIS,USA,US2546871060
9988 KY,USA,
APT AU,USA,
PRPL,USA,US74640Y1064
CONE,USA,US23283R1005
CRNC,USA,US1567271093
MSXXOPN2,USA,
UBER,USA,US90353T1007
SNAP,USA,US83304A1060
EBAY200821C00049000,USA,
DISH NETWORK CL A ORD 2020-09-18 40.00 Call OTC,USA,
KEYS,USA,US49338N1090
PTON220121C00060000,USA,
QRTEA,USA,
DISH NETWORK CL A ORD 2020-08-21 40.00 Call OTC,USA,
MSGN,USA,US5535731062
GCI,USA,US36473H1041
TPCO,USA,US89703P1075
MDP,USA,US5894331017
SBGI,USA,US8292261091
PLT,USA,US7274931085
